"id","text","aspectTerms__aspectTerm__term","aspectTerms__aspectTerm__polarity","aspectTerms__aspectTerm__from","aspectTerms__aspectTerm__to","aspectCategories__aspectCategory__category","aspectCategories__aspectCategory__polarity"
"2146","The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!","staff","positive","4","9","food","positive"
"","","food","positive","38","42","service","positive"
"","","atmosphere","positive","60","70","ambience","positive"
"2438","i actually feel like i should keep it a secret.","","","","","anecdotes/miscellaneous","neutral"
"2474","The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).","food","conflict","4","8","food","conflict"
"","","steak dish","negative","65","75","",""
"1148","Not only would I not recommend Jimmy's restaurants to friends, I would strongly suggest they go anywhere but.","","","","","anecdotes/miscellaneous","negative"
"2714","They have a very diverse menu so its something for everybody.","menu","positive","25","29","food","positive"
"3215","Haru on Park S is simply disgusting.","","","","","anecdotes/miscellaneous","negative"
"3672","The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.","staff","negative","4","9","service","negative"
"","","sushi","neutral","32","37","",""
"","","check","neutral","110","115","",""
"","","dinner","neutral","42","48","",""
"","","bar","neutral","86","89","",""
"2428","As a long-time patron of Mamoun's, I always figured that I had found the best late night food spot in the city.","food spot","positive","89","98","anecdotes/miscellaneous","positive"
"1169","I drop more dollar bills here than your uncle after a weekend at Scores.","","","","","anecdotes/miscellaneous","neutral"
"2165","The bagel was huge.","bagel","neutral","4","9","food","positive"
"3078","Go there to relax and feel like your somewhere else.","","","","","anecdotes/miscellaneous","positive"
"1207","Get the tuna of gari.","tuna","positive","8","12","food","positive"
"182","I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","somosas","positive","11","18","food","conflict"
"","","chai","positive","20","24","",""
"","","chole","positive","34","39","",""
"","","dhosas","negative","49","55","",""
"","","dhal","negative","60","64","",""
"827","It was a very nice surprise.","","","","","anecdotes/miscellaneous","positive"
"1416","Edible but really a ripoff at those prices given whats in the area.","prices","negative","36","42","food","neutral"
"","","","","","","price","negative"
"196","The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.","staff","conflict","4","9","service","conflict"
"","","bathroom","negative","72","80","ambience","negative"
"1997","I am French and I really felt like home!!!","","","","","anecdotes/miscellaneous","positive"
"192","I have been to Casimir over 5 times and I have always had a great time there.","","","","","anecdotes/miscellaneous","positive"
"2748","The service was the only thing good about this restaurant.","service","positive","4","11","service","positive"
"2407","It's usually packed for good reason, esp.","","","","","anecdotes/miscellaneous","neutral"
"1818","Service- friendly and attentive.","Service","positive","0","7","service","positive"
"2145","I love going there!","","","","","anecdotes/miscellaneous","positive"
"2635","I cannot recommend OG more highly if I tried - check it out for yourself.","","","","","anecdotes/miscellaneous","positive"
"2614","It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.","","","","","anecdotes/miscellaneous","positive"
"3072","Service was very prompt but slightly rushed.","Service","conflict","0","7","service","positive"
"1718","Great food, great decor, great service.","food","positive","6","10","food","positive"
"","","decor","positive","18","23","service","positive"
"","","service","positive","31","38","ambience","positive"
"2207","And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.","tables","neutral","14","20","service","negative"
"","","space","neutral","77","82","",""
"3095","The palak paneer was standard, and I was not a fan of the malai kofta.","palak paneer","neutral","4","16","food","neutral"
"","","malai kofta","neutral","58","69","",""
"2002","I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.","dining","positive","98","104","price","positive"
"","","price","positive","69","74","",""
"441","Yeah, sometimes the service can be slow.","service","negative","20","27","service","negative"
"2948","There was no ambiance.","ambiance","negative","13","21","ambience","negative"
"474","Save your money and don't waste your calories, go to Margharita's on Washington Street instead, they have amazing food and the BEST service.","food","positive","114","118","anecdotes/miscellaneous","negative"
"","","service","positive","132","139","",""
"3662","The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.","service","positive","4","11","food","positive"
"","","dish","positive","61","65","service","positive"
"","","spring rolls","positive","98","110","",""
"","","cod with pineapple tempura","positive","118","144","",""
"1165","But trust me it is so worth it.","","","","","anecdotes/miscellaneous","positive"
"1669","It is not a place for tourists or someone who has never dined in Bay Ridge.","","","","","anecdotes/miscellaneous","neutral"
"1816","THe perfect spot.","","","","","anecdotes/miscellaneous","positive"
"2471","The only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price X4, which makes no sense whatsoever.","bottle","neutral","37","43","price","negative"
"","","waitress","negative","49","57","",""
"","","price","negative","97","102","",""
"1192","They sell special sushi, everything have a topping, sauce and etc.","sushi","positive","18","23","food","positive"
"","","sauce","positive","52","57","",""
"","","topping","positive","43","50","",""
"1373","DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.","taste","negative","116","121","anecdotes/miscellaneous","negative"
"","","","","","","ambience","neutral"
"936","They never came back to refill our glasses again.","","","","","service","negative"
"2686","The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.","service","positive","75","82","service","positive"
"","","place","negative","4","9","ambience","negative"
